Наименование,Url_товара,Url_изображения,Категория,Полная цена,Цена соскидкой
"Творожок Чудо черника 4,2% 100г БЗМЖ",https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=157327&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/454353/454353_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Йогурты и творожки","69,99","54,99"
Заправка Maggi для борща 250г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=169574&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/325870/325870_thumbnail.jpg,"Растительные масла, соусы и приправы/Специи, приправы","109,99","79,99"
Батончик злаково-фруктовый Фрутоняня...,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617681075&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/890239/890239_thumbnail.jpg,Детские товары и игрушки/Детское питание/Полезный перекус,"49,99","36,99"
Майонез Слобода Провансаль 67% 375г/400мл,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=249262&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/379499/379499_thumbnail.jpg,"Растительные масла, соусы и приправы/Майонез","121,49","94,99"
Морская капуста Русское море Классический 200г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=95588&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/473922/473922_thumbnail.jpg,"Овощи и фрукты/Овощные смеси, овощи квашенные ","74,99","49,99"
Творог зерненый Савушкин 101 зерно малина 5%...,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617738724&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/917335/917335_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Творожные изделия","72,99","59,99"
Блинчики Цезарь с деревенским творогом 450г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=242335&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/658146/658146_thumbnail.jpg,"Заморозка, готовая кулинария/Пицца и тесто","249,00","199,99"
Смесь О`КЕЙ Гавайская 400г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=744681&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/767357/767357_thumbnail.jpg,"Заморозка, готовая кулинария/Овощи и ягоды замороженные","109,99","84,99"
Мука Рязаночка пшеничная высший сорт 2кг,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=751290&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/775735/775735_thumbnail.jpg,"Бакалея и консервы/Мука, смеси для выпечки","119,99","108,98"
Каша молочная Фрутоняня пшеничная с 6 месяцев...,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=500381&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/438123/438123_thumbnail.jpg,Детские товары и игрушки/Детское питание/Каши детские,"54,99","41,99"
Котлеты из свинины Ближние горки Домашние 400г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=871669&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/822782/822782_thumbnail.jpg,Акции/Всегда свежие продукты,"191,99","154,99"
"Черешня, кг",https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=44751&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/15406/15406_thumbnail.jpg,Акции/Всегда свежие продукты,"499,99","399,99"
"Гель для стирки Персил Color 2,6л",https://www.okeydostavka.ru/msk/gel-d-stirki-pr5189-color-2-6l,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/744832/744832_thumbnail.jpg,Бытовая химия/Стирка и уход за одеждой/Стирка одежды,"1 369,00","849,99"
Сосиски Великолукский Мясокомбинат Детям с...,https://www.okeydostavka.ru/msk/35-na-sosiski-sardel-ki-shpikachki-20-3074457345616864751/sosiski-detiam-s-indeikoi-330g-velikolukskii,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/988761/988761_thumbnail.jpg,"Мясо, птица, колбасы/Сосиски, сардельки","224,00","145,60"
Чебупели Горячая Штучка сочные с мясом 300г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=660032&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/739013/739013_thumbnail.jpg,"Заморозка, готовая кулинария/Пицца и тесто","199,99","109,99"
Сосиски Сливочные Ближние горки 450г,https://www.okeydostavka.ru/msk/35-na-sosiski-sardel-ki-shpikachki-20-3074457345616864751/sosiski-slivochnye-ts-o-450g-gaz-blizhnie-gorki,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/621291/621291_thumbnail.jpg,"Мясо, птица, колбасы/Сосиски, сардельки","324,00","199,99"
"Напиток КулКола без сахара газированный 1,5л",https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617822555&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/951662/951662_thumbnail.jpg,Горячие и холодные напитки/Лимонады,"129,99","104,99"
Гель для стирки Ласка для тёмного белья 3л,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=794358&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/794791/794791_thumbnail.jpg,Бытовая химия/Стирка и уход за одеждой/Стирка одежды,"1 109,00","689,99"
Семечки подсолнечника Бабкины семечки жареные 300г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=94952&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/366211/366211_thumbnail.jpg,"Овощи и фрукты/Орехи, сухофрукты","124,99","99,99"
Палочки ватные Bella 100шт пак,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=181842&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/5305/5305_thumbnail.jpg,Косметика и гигиена/Гигиенические и бумажные товары,"54,99","39,99"
